"rgb_colors:0","rgb_colors:1","rgb_colors:2","z","Points:0","Points:1","Points:2"
0,0,0,-0.005,0.505,0.745,-0.005
0,0,0,-0.005,0.515,0.745,-0.005
0,0,0,-0.005,0.525,0.745,-0.005
0,0,0,-0.005,0.535,0.745,-0.005
0,0,0,-0.005,0.545,0.745,-0.005
0,0,0,-0.005,0.555,0.745,-0.005
0,0,0,-0.005,0.585,0.735,-0.005
0,0,0,-0.005,0.595,0.735,-0.005
0,0,0,-0.005,0.565,0.745,-0.005
0,0,0,-0.005,0.575,0.745,-0.005
0,0,0,-0.005,0.585,0.745,-0.005
0,0,0,-0.005,0.605,0.735,-0.005
0,0,0,-0.005,0.615,0.735,-0.005
0,0,0,-0.005,0.625,0.735,-0.005
0,0,0,-0.005,0.635,0.735,-0.005
0,0,0,-0.005,0.645,0.735,-0.005
0,0,0,-0.005,0.655,0.735,-0.005
0,0,0,-0.005,0.665,0.735,-0.005
0,0,0,-0.005,0.675,0.735,-0.005
0,0,0,-0.005,0.685,0.735,-0.005
0,0,0,-0.005,0.695,0.735,-0.005
0,0,0,-0.005,0.705,0.735,-0.005
0,0,0,-0.005,0.715,0.735,-0.005
0,0,0,-0.005,0.735,0.725,-0.005
0,0,0,-0.005,0.725,0.735,-0.005
0,0,0,-0.005,0.745,0.725,-0.005
0,0,0,-0.005,0.755,0.725,-0.005
0,0,0,-0.005,0.765,0.725,-0.005
0,0,0,-0.005,0.775,0.725,-0.005
0,0,0,-0.005,0.785,0.725,-0.005
0,0,0,-0.005,0.795,0.725,-0.005
0,0,0,-0.005,0.805,0.725,-0.005
0,0,0,0.005,0.205,-0.985,0.005
0,0,0,0.005,0.215,-0.985,0.005
0,0,0,0.005,0.225,-0.985,0.005
0,0,0,0.005,0.235,-0.985,0.005
0,0,0,0.005,0.245,-0.985,0.005
0,0,0,0.005,0.255,-0.985,0.005
0,0,0,0.005,0.265,-0.985,0.005
0,0,0,0.005,0.275,-0.985,0.005
0,0,0,0.005,0.285,-0.985,0.005
0,0,0,0.005,0.295,-0.985,0.005
0,0,0,0.005,0.305,-0.975,0.005
0,0,0,0.005,0.315,-0.975,0.005
0,0,0,0.005,0.325,-0.975,0.005
0,0,0,0.005,0.335,-0.975,0.005
0,0,0,0.005,0.345,-0.975,0.005
0,0,0,0.005,0.355,-0.975,0.005
0,0,0,0.005,0.365,-0.975,0.005
0,0,0,0.005,0.375,-0.975,0.005
0,0,0,0.005,0.385,-0.975,0.005
0,0,0,0.005,0.395,-0.975,0.005
0,0,0,0.005,0.405,-0.975,0.005
0,0,0,0.005,0.415,-0.975,0.005
0,0,0,0.005,0.425,-0.965,0.005
0,0,0,0.005,0.435,-0.965,0.005
0,0,0,0.005,0.445,-0.965,0.005
0,0,0,0.005,0.455,-0.965,0.005
0,0,0,0.005,0.465,-0.965,0.005
0,0,0,0.005,0.475,-0.965,0.005
0,0,0,0.005,0.485,-0.965,0.005
0,0,0,0.005,0.495,-0.965,0.005
0,0,0,0.005,0.505,-0.965,0.005
0,0,0,0.005,0.515,-0.965,0.005
0,0,0,0.005,0.525,-0.965,0.005
0,0,0,0.005,0.535,-0.965,0.005
0,0,0,0.005,0.265,-0.915,0.005
0,0,0,0.005,0.275,-0.905,0.005
0,0,0,0.005,0.285,-0.905,0.005
0,0,0,0.005,0.295,-0.905,0.005
0,0,0,0.005,0.305,-0.905,0.005
0,0,0,0.005,0.315,-0.905,0.005
0,0,0,0.005,0.325,-0.905,0.005
0,0,0,0.005,0.335,-0.905,0.005
0,0,0,0.005,0.345,-0.905,0.005
0,0,0,0.005,0.355,-0.905,0.005
0,0,0,0.005,0.365,-0.905,0.005
0,0,0,0.005,0.375,-0.905,0.005
0,0,0,0.005,0.385,-0.905,0.005
0,0,0,0.005,0.395,-0.905,0.005
0,0,0,0.005,0.405,-0.895,0.005
0,0,0,0.005,0.415,-0.895,0.005
0,0,0,0.005,0.425,-0.895,0.005
0,0,0,0.005,0.435,-0.895,0.005
0,0,0,0.005,0.445,-0.895,0.005
0,0,0,0.005,0.455,-0.895,0.005
0,0,0,0.005,0.465,-0.895,0.005
0,0,0,0.005,0.475,-0.895,0.005
0,0,0,0.005,0.325,-0.835,0.005
0,0,0,0.005,0.335,-0.835,0.005
0,0,0,0.005,0.345,-0.835,0.005
0,0,0,0.005,0.355,-0.835,0.005
