"rgb_colors:0","rgb_colors:1","rgb_colors:2","z","Points:0","Points:1","Points:2"
0,0,0,0.005,0.395,-0.995,0.005
0,0,0,0.005,0.405,-0.985,0.005
0,0,0,0.005,0.415,-0.985,0.005
0,0,0,0.005,0.425,-0.985,0.005
0,0,0,0.005,0.435,-0.985,0.005
0,0,0,0.005,0.445,-0.985,0.005
0,0,0,0.005,0.455,-0.985,0.005
0,0,0,0.005,0.465,-0.985,0.005
0,0,0,0.005,0.475,-0.985,0.005
0,0,0,0.005,0.485,-0.985,0.005
0,0,0,0.005,0.495,-0.985,0.005
0,0,0,0.005,0.505,-0.985,0.005
0,0,0,0.005,0.515,-0.975,0.005
0,0,0,0.005,0.525,-0.975,0.005
0,0,0,0.005,0.535,-0.975,0.005
0,0,0,0.005,0.545,-0.975,0.005
0,0,0,0.005,0.555,-0.975,0.005
0,0,0,0.005,0.565,-0.975,0.005
0,0,0,0.005,0.575,-0.975,0.005
0,0,0,0.005,0.585,-0.975,0.005
0,0,0,0.005,0.595,-0.975,0.005
0,0,0,0.005,0.605,-0.975,0.005
0,0,0,0.005,0.615,-0.975,0.005
0,0,0,0.005,0.625,-0.965,0.005
0,0,0,0.005,0.635,-0.965,0.005
0,0,0,0.005,0.445,-0.915,0.005
0,0,0,0.005,0.455,-0.915,0.005
0,0,0,0.005,0.465,-0.915,0.005
0,0,0,0.005,0.475,-0.915,0.005
0,0,0,0.005,0.485,-0.905,0.005
0,0,0,0.005,0.495,-0.905,0.005
0,0,0,0.005,0.505,-0.905,0.005
0,0,0,0.005,0.515,-0.905,0.005
0,0,0,0.005,0.525,-0.905,0.005
0,0,0,0.005,0.535,-0.905,0.005
0,0,0,0.005,0.545,-0.905,0.005
0,0,0,0.005,0.555,-0.905,0.005
0,0,0,0.005,0.565,-0.905,0.005
0,0,0,0.005,0.575,-0.905,0.005
0,0,0,0.005,0.585,-0.905,0.005
0,0,0,0.005,0.595,-0.905,0.005
0,0,0,0.005,0.605,-0.895,0.005
0,0,0,0.005,0.615,-0.895,0.005
0,0,0,0.005,0.625,-0.895,0.005
0,0,0,0.005,0.635,-0.895,0.005
0,0,0,0.005,0.485,-0.835,0.005
0,0,0,0.005,0.495,-0.835,0.005
0,0,0,0.005,0.505,-0.835,0.005
0,0,0,0.005,0.515,-0.835,0.005
0,0,0,0.005,0.525,-0.835,0.005
0,0,0,0.005,0.535,-0.835,0.005
0,0,0,0.005,0.545,-0.835,0.005
0,0,0,0.005,0.555,-0.835,0.005
0,0,0,0.005,0.565,-0.835,0.005
0,0,0,0.005,0.575,-0.835,0.005
0,0,0,0.005,0.585,-0.835,0.005
0,0,0,0.005,0.595,-0.835,0.005
0,0,0,0.005,0.605,-0.835,0.005
0,0,0,0.005,0.615,-0.825,0.005
0,0,0,0.005,0.625,-0.825,0.005
0,0,0,0.005,0.635,-0.825,0.005
0,0,0,0.005,0.515,-0.775,0.005
0,0,0,0.005,0.525,-0.765,0.005
0,0,0,0.005,0.535,-0.765,0.005
0,0,0,0.005,0.545,-0.765,0.005
0,0,0,0.005,0.555,-0.765,0.005
0,0,0,0.005,0.565,-0.765,0.005
0,0,0,0.005,0.575,-0.765,0.005
0,0,0,0.005,0.585,-0.765,0.005
0,0,0,0.005,0.595,-0.765,0.005
0,0,0,0.005,0.605,-0.765,0.005
0,0,0,0.005,0.615,-0.765,0.005
0,0,0,0.005,0.625,-0.765,0.005
0,0,0,0.005,0.635,-0.765,0.005
0,0,0,0.005,0.525,-0.705,0.005
0,0,0,0.005,0.535,-0.705,0.005
0,0,0,0.005,0.545,-0.705,0.005
0,0,0,0.005,0.555,-0.705,0.005
0,0,0,0.005,0.535,-0.645,0.005
0,0,0,0.005,0.545,-0.645,0.005
0,0,0,0.005,0.555,-0.645,0.005
0,0,0,0.005,0.565,-0.705,0.005
0,0,0,0.005,0.575,-0.705,0.005
0,0,0,0.005,0.585,-0.705,0.005
0,0,0,0.005,0.595,-0.705,0.005
0,0,0,0.005,0.605,-0.695,0.005
0,0,0,0.005,0.615,-0.695,0.005
0,0,0,0.005,0.625,-0.695,0.005
0,0,0,0.005,0.635,-0.695,0.005
0,0,0,0.005,0.565,-0.645,0.005
0,0,0,0.005,0.645,-0.965,0.005
0,0,0,0.005,0.655,-0.965,0.005
0,0,0,0.005,0.665,-0.965,0.005
0,0,0,0.005,0.675,-0.965,0.005
0,0,0,0.005,0.685,-0.965,0.005
0,0,0,0.005,0.695,-0.965,0.005
0,0,0,0.005,0.705,-0.965,0.005
0,0,0,0.005,0.715,-0.965,0.005
0,0,0,0.005,0.725,-0.965,0.005
0,0,0,0.005,0.645,-0.895,0.005
0,0,0,0.005,0.655,-0.895,0.005
0,0,0,0.005,0.665,-0.895,0.005
0,0,0,0.005,0.675,-0.895,0.005
0,0,0,0.005,0.685,-0.895,0.005
0,0,0,0.005,0.695,-0.895,0.005
0,0,0,0.005,0.705,-0.895,0.005
0,0,0,0.005,0.715,-0.895,0.005
0,0,0,0.005,0.715,-0.885,0.005
0,0,0,0.005,0.735,-0.955,0.005
0,0,0,0.005,0.745,-0.955,0.005
0,0,0,0.005,0.755,-0.955,0.005
0,0,0,0.005,0.765,-0.955,0.005
0,0,0,0.005,0.775,-0.955,0.005
0,0,0,0.005,0.785,-0.955,0.005
0,0,0,0.005,0.795,-0.955,0.005
0,0,0,0.005,0.725,-0.885,0.005
0,0,0,0.005,0.735,-0.885,0.005
0,0,0,0.005,0.745,-0.885,0.005
0,0,0,0.005,0.755,-0.885,0.005
0,0,0,0.005,0.765,-0.885,0.005
0,0,0,0.005,0.775,-0.885,0.005
0,0,0,0.005,0.785,-0.885,0.005
0,0,0,0.005,0.795,-0.885,0.005
0,0,0,0.005,0.645,-0.825,0.005
0,0,0,0.005,0.655,-0.825,0.005
0,0,0,0.005,0.665,-0.825,0.005
0,0,0,0.005,0.675,-0.825,0.005
0,0,0,0.005,0.685,-0.825,0.005
0,0,0,0.005,0.695,-0.825,0.005
0,0,0,0.005,0.705,-0.825,0.005
0,0,0,0.005,0.715,-0.825,0.005
0,0,0,0.005,0.725,-0.825,0.005
0,0,0,0.005,0.735,-0.825,0.005
0,0,0,0.005,0.745,-0.815,0.005
0,0,0,0.005,0.755,-0.815,0.005
0,0,0,0.005,0.765,-0.815,0.005
0,0,0,0.005,0.775,-0.815,0.005
0,0,0,0.005,0.785,-0.815,0.005
0,0,0,0.005,0.795,-0.815,0.005
0,0,0,0.005,0.805,-0.955,0.005
0,0,0,0.005,0.815,-0.955,0.005
0,0,0,0.005,0.805,-0.885,0.005
0,0,0,0.005,0.815,-0.885,0.005
0,0,0,0.005,0.805,-0.815,0.005
0,0,0,0.005,0.815,-0.815,0.005
0,0,0,0.005,0.645,-0.765,0.005
0,0,0,0.005,0.655,-0.765,0.005
0,0,0,0.005,0.665,-0.755,0.005
0,0,0,0.005,0.675,-0.755,0.005
0,0,0,0.005,0.685,-0.755,0.005
0,0,0,0.005,0.695,-0.755,0.005
0,0,0,0.005,0.705,-0.755,0.005
0,0,0,0.005,0.715,-0.755,0.005
0,0,0,0.005,0.725,-0.755,0.005
0,0,0,0.005,0.735,-0.755,0.005
0,0,0,0.005,0.745,-0.755,0.005
0,0,0,0.005,0.755,-0.755,0.005
0,0,0,0.005,0.765,-0.755,0.005
0,0,0,0.005,0.775,-0.755,0.005
0,0,0,0.005,0.785,-0.755,0.005
0,0,0,0.005,0.795,-0.755,0.005
0,0,0,0.005,0.645,-0.695,0.005
0,0,0,0.005,0.655,-0.695,0.005
0,0,0,0.005,0.665,-0.695,0.005
0,0,0,0.005,0.675,-0.695,0.005
0,0,0,0.005,0.685,-0.695,0.005
0,0,0,0.005,0.695,-0.695,0.005
0,0,0,0.005,0.705,-0.695,0.005
0,0,0,0.005,0.715,-0.695,0.005
0,0,0,0.005,0.725,-0.695,0.005
0,0,0,0.005,0.735,-0.695,0.005
0,0,0,0.005,0.745,-0.695,0.005
0,0,0,0.005,0.745,-0.685,0.005
0,0,0,0.005,0.755,-0.685,0.005
0,0,0,0.005,0.765,-0.685,0.005
0,0,0,0.005,0.775,-0.685,0.005
0,0,0,0.005,0.785,-0.685,0.005
0,0,0,0.005,0.795,-0.685,0.005
0,0,0,0.005,0.805,-0.745,0.005
0,0,0,0.005,0.805,-0.685,0.005
0,0,0,0.005,0.545,-0.575,0.005
0,0,0,0.005,0.555,-0.575,0.005
0,0,0,0.005,0.575,-0.635,0.005
0,0,0,0.005,0.585,-0.635,0.005
0,0,0,0.005,0.595,-0.635,0.005
0,0,0,0.005,0.605,-0.635,0.005
0,0,0,0.005,0.615,-0.635,0.005
0,0,0,0.005,0.625,-0.635,0.005
0,0,0,0.005,0.635,-0.635,0.005
0,0,0,0.005,0.565,-0.575,0.005
0,0,0,0.005,0.575,-0.575,0.005
0,0,0,0.005,0.585,-0.575,0.005
0,0,0,0.005,0.595,-0.575,0.005
0,0,0,0.005,0.605,-0.575,0.005
0,0,0,0.005,0.615,-0.565,0.005
0,0,0,0.005,0.625,-0.565,0.005
0,0,0,0.005,0.635,-0.565,0.005
0,0,0,0.005,0.555,-0.505,0.005
0,0,0,0.005,0.565,-0.505,0.005
0,0,0,0.005,0.575,-0.505,0.005
0,0,0,0.005,0.585,-0.505,0.005
