"rgb_colors:0","rgb_colors:1","rgb_colors:2","z","Points:0","Points:1","Points:2"
0,0,0,0.005,0.445,-0.725,0.005
0,0,0,0.005,0.455,-0.725,0.005
0,0,0,0.005,0.465,-0.725,0.005
0,0,0,0.005,0.475,-0.725,0.005
0,0,0,0.005,0.455,-0.655,0.005
0,0,0,0.005,0.465,-0.655,0.005
0,0,0,0.005,0.475,-0.655,0.005
0,0,0,0.005,0.485,-0.785,0.005
0,0,0,0.005,0.495,-0.785,0.005
0,0,0,0.005,0.505,-0.785,0.005
0,0,0,0.005,0.515,-0.785,0.005
0,0,0,0.005,0.525,-0.785,0.005
0,0,0,0.005,0.535,-0.785,0.005
0,0,0,0.005,0.545,-0.785,0.005
0,0,0,0.005,0.555,-0.785,0.005
0,0,0,0.005,0.485,-0.725,0.005
0,0,0,0.005,0.495,-0.725,0.005
0,0,0,0.005,0.565,-0.785,0.005
0,0,0,0.005,0.575,-0.785,0.005
0,0,0,0.005,0.585,-0.785,0.005
0,0,0,0.005,0.595,-0.785,0.005
0,0,0,0.005,0.605,-0.785,0.005
0,0,0,0.005,0.615,-0.785,0.005
0,0,0,0.005,0.615,-0.775,0.005
0,0,0,0.005,0.625,-0.775,0.005
0,0,0,0.005,0.635,-0.775,0.005
0,0,0,0.005,0.505,-0.715,0.005
0,0,0,0.005,0.515,-0.715,0.005
0,0,0,0.005,0.525,-0.715,0.005
0,0,0,0.005,0.535,-0.715,0.005
0,0,0,0.005,0.545,-0.715,0.005
0,0,0,0.005,0.555,-0.715,0.005
0,0,0,0.005,0.485,-0.655,0.005
0,0,0,0.005,0.495,-0.655,0.005
0,0,0,0.005,0.505,-0.655,0.005
0,0,0,0.005,0.515,-0.655,0.005
0,0,0,0.005,0.525,-0.645,0.005
0,0,0,0.005,0.535,-0.645,0.005
0,0,0,0.005,0.545,-0.645,0.005
0,0,0,0.005,0.555,-0.645,0.005
0,0,0,0.005,0.565,-0.715,0.005
0,0,0,0.005,0.575,-0.715,0.005
0,0,0,0.005,0.585,-0.715,0.005
0,0,0,0.005,0.595,-0.715,0.005
0,0,0,0.005,0.605,-0.715,0.005
0,0,0,0.005,0.615,-0.715,0.005
0,0,0,0.005,0.625,-0.715,0.005
0,0,0,0.005,0.635,-0.715,0.005
0,0,0,0.005,0.565,-0.645,0.005
0,0,0,0.005,0.575,-0.645,0.005
0,0,0,0.005,0.585,-0.645,0.005
0,0,0,0.005,0.595,-0.645,0.005
0,0,0,0.005,0.605,-0.645,0.005
0,0,0,0.005,0.615,-0.645,0.005
0,0,0,0.005,0.625,-0.645,0.005
0,0,0,0.005,0.635,-0.645,0.005
0,0,0,0.005,0.645,-0.995,0.005
0,0,0,0.005,0.655,-0.995,0.005
0,0,0,0.005,0.665,-0.995,0.005
0,0,0,0.005,0.675,-0.995,0.005
0,0,0,0.005,0.685,-0.985,0.005
0,0,0,0.005,0.695,-0.985,0.005
0,0,0,0.005,0.705,-0.985,0.005
0,0,0,0.005,0.715,-0.985,0.005
0,0,0,0.005,0.725,-0.985,0.005
0,0,0,0.005,0.735,-0.985,0.005
0,0,0,0.005,0.745,-0.985,0.005
0,0,0,0.005,0.755,-0.985,0.005
0,0,0,0.005,0.765,-0.985,0.005
0,0,0,0.005,0.775,-0.985,0.005
0,0,0,0.005,0.785,-0.975,0.005
0,0,0,0.005,0.795,-0.975,0.005
0,0,0,0.005,0.645,-0.915,0.005
0,0,0,0.005,0.655,-0.915,0.005
0,0,0,0.005,0.665,-0.915,0.005
0,0,0,0.005,0.675,-0.915,0.005
0,0,0,0.005,0.685,-0.915,0.005
0,0,0,0.005,0.695,-0.915,0.005
0,0,0,0.005,0.705,-0.915,0.005
0,0,0,0.005,0.715,-0.915,0.005
0,0,0,0.005,0.725,-0.915,0.005
0,0,0,0.005,0.735,-0.915,0.005
0,0,0,0.005,0.745,-0.915,0.005
0,0,0,0.005,0.755,-0.915,0.005
0,0,0,0.005,0.765,-0.905,0.005
0,0,0,0.005,0.775,-0.905,0.005
0,0,0,0.005,0.785,-0.905,0.005
0,0,0,0.005,0.795,-0.905,0.005
0,0,0,0.005,0.645,-0.845,0.005
0,0,0,0.005,0.655,-0.845,0.005
0,0,0,0.005,0.665,-0.845,0.005
0,0,0,0.005,0.675,-0.845,0.005
0,0,0,0.005,0.685,-0.845,0.005
0,0,0,0.005,0.695,-0.845,0.005
0,0,0,0.005,0.705,-0.845,0.005
0,0,0,0.005,0.715,-0.845,0.005
0,0,0,0.005,0.725,-0.845,0.005
0,0,0,0.005,0.735,-0.835,0.005
0,0,0,0.005,0.745,-0.835,0.005
0,0,0,0.005,0.755,-0.835,0.005
0,0,0,0.005,0.765,-0.835,0.005
0,0,0,0.005,0.775,-0.835,0.005
0,0,0,0.005,0.785,-0.835,0.005
0,0,0,0.005,0.795,-0.835,0.005
0,0,0,0.005,0.645,-0.775,0.005
0,0,0,0.005,0.655,-0.775,0.005
0,0,0,0.005,0.665,-0.775,0.005
0,0,0,0.005,0.675,-0.775,0.005
0,0,0,0.005,0.685,-0.775,0.005
0,0,0,0.005,0.695,-0.775,0.005
0,0,0,0.005,0.705,-0.775,0.005
0,0,0,0.005,0.715,-0.775,0.005
0,0,0,0.005,0.725,-0.775,0.005
0,0,0,0.005,0.735,-0.775,0.005
0,0,0,0.005,0.745,-0.775,0.005
0,0,0,0.005,0.755,-0.775,0.005
0,0,0,0.005,0.755,-0.765,0.005
0,0,0,0.005,0.765,-0.765,0.005
0,0,0,0.005,0.775,-0.765,0.005
0,0,0,0.005,0.785,-0.765,0.005
0,0,0,0.005,0.795,-0.765,0.005
0,0,0,0.005,0.645,-0.715,0.005
0,0,0,0.005,0.655,-0.715,0.005
0,0,0,0.005,0.665,-0.715,0.005
0,0,0,0.005,0.675,-0.705,0.005
0,0,0,0.005,0.685,-0.705,0.005
0,0,0,0.005,0.695,-0.705,0.005
0,0,0,0.005,0.705,-0.705,0.005
0,0,0,0.005,0.715,-0.705,0.005
0,0,0,0.005,0.645,-0.645,0.005
0,0,0,0.005,0.655,-0.645,0.005
0,0,0,0.005,0.665,-0.645,0.005
0,0,0,0.005,0.675,-0.645,0.005
0,0,0,0.005,0.685,-0.645,0.005
0,0,0,0.005,0.695,-0.645,0.005
0,0,0,0.005,0.725,-0.705,0.005
0,0,0,0.005,0.735,-0.705,0.005
0,0,0,0.005,0.745,-0.705,0.005
0,0,0,0.005,0.755,-0.705,0.005
0,0,0,0.005,0.765,-0.705,0.005
0,0,0,0.005,0.775,-0.705,0.005
0,0,0,0.005,0.785,-0.705,0.005
0,0,0,0.005,0.795,-0.705,0.005
0,0,0,0.005,0.495,-0.595,0.005
0,0,0,0.005,0.505,-0.595,0.005
0,0,0,0.005,0.515,-0.585,0.005
0,0,0,0.005,0.525,-0.585,0.005
0,0,0,0.005,0.535,-0.585,0.005
0,0,0,0.005,0.545,-0.585,0.005
0,0,0,0.005,0.555,-0.585,0.005
0,0,0,0.005,0.565,-0.585,0.005
0,0,0,0.005,0.575,-0.585,0.005
0,0,0,0.005,0.585,-0.585,0.005
0,0,0,0.005,0.595,-0.585,0.005
0,0,0,0.005,0.605,-0.585,0.005
0,0,0,0.005,0.615,-0.585,0.005
0,0,0,0.005,0.625,-0.585,0.005
0,0,0,0.005,0.635,-0.585,0.005
0,0,0,0.005,0.505,-0.535,0.005
0,0,0,0.005,0.515,-0.525,0.005
0,0,0,0.005,0.525,-0.525,0.005
0,0,0,0.005,0.535,-0.525,0.005
0,0,0,0.005,0.545,-0.525,0.005
0,0,0,0.005,0.555,-0.525,0.005
0,0,0,0.005,0.565,-0.525,0.005
0,0,0,0.005,0.575,-0.525,0.005
0,0,0,0.005,0.585,-0.525,0.005
0,0,0,0.005,0.595,-0.525,0.005
0,0,0,0.005,0.605,-0.525,0.005
0,0,0,0.005,0.615,-0.525,0.005
0,0,0,0.005,0.625,-0.525,0.005
0,0,0,0.005,0.635,-0.525,0.005
