"rgb_colors:0","rgb_colors:1","rgb_colors:2","z","Points:0","Points:1","Points:2"
0,0,0,0.915,0.235,-0.495,0.915
0,0,0,0.915,0.245,-0.495,0.915
0,0,0,0.915,0.255,-0.495,0.915
0,0,0,0.915,0.265,-0.495,0.915
0,0,0,0.915,0.275,-0.495,0.915
0,0,0,0.915,0.285,-0.495,0.915
0,0,0,0.915,0.295,-0.495,0.915
0,0,0,0.915,0.305,-0.495,0.915
0,0,0,0.915,0.315,-0.495,0.915
0,0,0,0.905,0.205,-0.475,0.905
0,0,0,0.915,0.205,-0.465,0.915
0,0,0,0.915,0.215,-0.465,0.915
0,0,0,0.915,0.225,-0.465,0.915
0,0,0,0.915,0.235,-0.465,0.915
0,0,0,0.915,0.205,-0.435,0.915
0,0,0,0.915,0.215,-0.435,0.915
0,0,0,0.915,0.225,-0.435,0.915
0,0,0,0.915,0.235,-0.435,0.915
0,0,0,0.915,0.245,-0.465,0.915
0,0,0,0.915,0.255,-0.465,0.915
0,0,0,0.915,0.265,-0.465,0.915
0,0,0,0.915,0.265,-0.455,0.915
0,0,0,0.915,0.275,-0.455,0.915
0,0,0,0.915,0.285,-0.455,0.915
0,0,0,0.915,0.295,-0.455,0.915
0,0,0,0.915,0.305,-0.455,0.915
0,0,0,0.915,0.315,-0.455,0.915
0,0,0,0.915,0.245,-0.435,0.915
0,0,0,0.915,0.255,-0.435,0.915
0,0,0,0.915,0.255,-0.425,0.915
0,0,0,0.915,0.265,-0.425,0.915
0,0,0,0.915,0.275,-0.425,0.915
0,0,0,0.915,0.285,-0.425,0.915
0,0,0,0.915,0.295,-0.425,0.915
0,0,0,0.915,0.305,-0.425,0.915
0,0,0,0.915,0.315,-0.425,0.915
0,0,0,0.915,0.215,-0.395,0.915
0,0,0,0.915,0.225,-0.395,0.915
0,0,0,0.915,0.235,-0.395,0.915
0,0,0,0.915,0.235,-0.365,0.915
0,0,0,0.915,0.245,-0.395,0.915
0,0,0,0.915,0.255,-0.395,0.915
0,0,0,0.915,0.265,-0.395,0.915
0,0,0,0.915,0.275,-0.395,0.915
0,0,0,0.915,0.245,-0.365,0.915
0,0,0,0.915,0.255,-0.365,0.915
0,0,0,0.915,0.265,-0.365,0.915
0,0,0,0.915,0.275,-0.365,0.915
0,0,0,0.915,0.285,-0.395,0.915
0,0,0,0.915,0.295,-0.395,0.915
0,0,0,0.915,0.305,-0.395,0.915
0,0,0,0.915,0.305,-0.385,0.915
0,0,0,0.915,0.315,-0.385,0.915
0,0,0,0.915,0.285,-0.365,0.915
0,0,0,0.915,0.295,-0.365,0.915
0,0,0,0.915,0.255,-0.335,0.915
0,0,0,0.915,0.265,-0.335,0.915
0,0,0,0.915,0.275,-0.335,0.915
0,0,0,0.915,0.295,-0.355,0.915
0,0,0,0.915,0.305,-0.355,0.915
0,0,0,0.915,0.315,-0.355,0.915
0,0,0,0.915,0.285,-0.335,0.915
0,0,0,0.915,0.295,-0.335,0.915
0,0,0,0.915,0.305,-0.335,0.915
0,0,0,0.915,0.315,-0.335,0.915
0,0,0,0.915,0.325,-0.485,0.915
0,0,0,0.915,0.335,-0.485,0.915
0,0,0,0.915,0.345,-0.485,0.915
0,0,0,0.915,0.355,-0.485,0.915
0,0,0,0.915,0.365,-0.485,0.915
0,0,0,0.915,0.375,-0.485,0.915
0,0,0,0.915,0.385,-0.485,0.915
0,0,0,0.915,0.395,-0.485,0.915
0,0,0,0.915,0.405,-0.485,0.915
0,0,0,0.915,0.565,-0.495,0.915
0,0,0,0.915,0.575,-0.495,0.915
0,0,0,0.915,0.585,-0.495,0.915
0,0,0,0.915,0.595,-0.495,0.915
0,0,0,0.915,0.605,-0.495,0.915
0,0,0,0.915,0.615,-0.495,0.915
0,0,0,0.915,0.625,-0.495,0.915
0,0,0,0.915,0.635,-0.495,0.915
0,0,0,0.915,0.635,-0.485,0.915
0,0,0,0.915,0.325,-0.455,0.915
0,0,0,0.915,0.335,-0.455,0.915
0,0,0,0.915,0.345,-0.455,0.915
0,0,0,0.915,0.355,-0.455,0.915
0,0,0,0.915,0.355,-0.445,0.915
0,0,0,0.915,0.365,-0.445,0.915
0,0,0,0.915,0.375,-0.445,0.915
0,0,0,0.915,0.385,-0.445,0.915
0,0,0,0.915,0.395,-0.445,0.915
0,0,0,0.915,0.325,-0.425,0.915
0,0,0,0.915,0.335,-0.425,0.915
0,0,0,0.915,0.345,-0.425,0.915
0,0,0,0.915,0.355,-0.425,0.915
