"rgb_colors:0","rgb_colors:1","rgb_colors:2","z","Points:0","Points:1","Points:2"
0,0,0,0.005,0.195,-0.995,0.005
0,0,0,0.005,0.205,-0.995,0.005
0,0,0,0.005,0.215,-0.995,0.005
0,0,0,0.005,0.225,-0.995,0.005
0,0,0,0.005,0.235,-0.995,0.005
0,0,0,0.005,0.245,-0.995,0.005
0,0,0,0.005,0.255,-0.995,0.005
0,0,0,0.005,0.265,-0.995,0.005
0,0,0,0.005,0.275,-0.985,0.005
0,0,0,0.005,0.285,-0.985,0.005
0,0,0,0.005,0.295,-0.985,0.005
0,0,0,0.005,0.305,-0.985,0.005
0,0,0,0.005,0.315,-0.985,0.005
0,0,0,0.005,0.325,-0.985,0.005
0,0,0,0.005,0.335,-0.985,0.005
0,0,0,0.005,0.345,-0.985,0.005
0,0,0,0.005,0.355,-0.985,0.005
0,0,0,0.005,0.365,-0.985,0.005
0,0,0,0.005,0.375,-0.985,0.005
0,0,0,0.005,0.385,-0.985,0.005
0,0,0,0.005,0.395,-0.975,0.005
0,0,0,0.005,0.405,-0.975,0.005
0,0,0,0.005,0.415,-0.975,0.005
0,0,0,0.005,0.425,-0.975,0.005
0,0,0,0.005,0.435,-0.975,0.005
0,0,0,0.005,0.445,-0.975,0.005
0,0,0,0.005,0.455,-0.975,0.005
0,0,0,0.005,0.465,-0.975,0.005
0,0,0,0.005,0.475,-0.975,0.005
0,0,0,0.005,0.485,-0.975,0.005
0,0,0,0.005,0.495,-0.975,0.005
0,0,0,0.005,0.505,-0.975,0.005
0,0,0,0.005,0.515,-0.965,0.005
0,0,0,0.005,0.525,-0.965,0.005
0,0,0,0.005,0.535,-0.965,0.005
0,0,0,0.005,0.545,-0.965,0.005
0,0,0,0.005,0.555,-0.965,0.005
0,0,0,0.005,0.565,-0.965,0.005
0,0,0,0.005,0.575,-0.965,0.005
0,0,0,0.005,0.585,-0.965,0.005
0,0,0,0.005,0.595,-0.965,0.005
0,0,0,0.005,0.605,-0.965,0.005
0,0,0,0.005,0.615,-0.965,0.005
0,0,0,0.005,0.625,-0.965,0.005
0,0,0,0.005,0.255,-0.925,0.005
0,0,0,0.005,0.265,-0.925,0.005
0,0,0,0.005,0.275,-0.925,0.005
0,0,0,0.005,0.285,-0.925,0.005
0,0,0,0.005,0.295,-0.915,0.005
0,0,0,0.005,0.305,-0.915,0.005
0,0,0,0.005,0.315,-0.915,0.005
0,0,0,0.005,0.315,-0.845,0.005
0,0,0,0.005,0.325,-0.915,0.005
0,0,0,0.005,0.335,-0.915,0.005
0,0,0,0.005,0.345,-0.915,0.005
0,0,0,0.005,0.355,-0.915,0.005
0,0,0,0.005,0.365,-0.915,0.005
0,0,0,0.005,0.375,-0.915,0.005
0,0,0,0.005,0.385,-0.915,0.005
0,0,0,0.005,0.395,-0.915,0.005
0,0,0,0.005,0.405,-0.915,0.005
0,0,0,0.005,0.415,-0.905,0.005
0,0,0,0.005,0.425,-0.905,0.005
0,0,0,0.005,0.435,-0.905,0.005
0,0,0,0.005,0.445,-0.905,0.005
0,0,0,0.005,0.455,-0.905,0.005
0,0,0,0.005,0.465,-0.905,0.005
0,0,0,0.005,0.475,-0.905,0.005
0,0,0,0.005,0.325,-0.845,0.005
0,0,0,0.005,0.335,-0.845,0.005
