0,0,0,0,1,0,0,0
1,0.102693,-3.29791e-05,0.00198149,0.999966,0.00307383,-0.00720667,-0.00253657
2,0.00119932,-0.132121,-0.000799724,0.999687,-0.00270695,-0.0234205,0.00841264
3,0.108392,-0.133068,-0.00111473,0.999961,-0.00376586,0.00546476,0.00586235
4,-0.0286409,-0.175321,0.170745,-0.485866,0.519261,-0.490634,-0.503567
5,-0.023989,-0.179028,0.0640863,-0.49693,0.511256,-0.490996,-0.500601
6,0.104286,-0.174903,0.169533,0.493288,-0.503534,0.505967,0.497109
7,0.111972,-0.181458,0.0615876,0.497107,-0.50643,0.488066,0.508138
8,0.161009,0.0196659,0.065193,0.709037,0.000931076,-0.705131,-0.00747475
9,0.163717,0.0184754,0.168783,0.728716,0.00344538,-0.684774,-0.00681478
10,0.169368,-0.112402,0.0596089,0.714528,0.0210916,-0.699259,0.00642231
11,0.163459,-0.109781,0.167193,0.721986,0.0268838,-0.691324,0.00921815
