-3.55072 , -3.47472
-3.53551 , -3.48987
-3.52025 , -3.50493
-3.49656 , -3.51132
-3.47913 , -3.52405
-3.45266 , -3.52731
-3.43171 , -3.53622
-3.41351 , -3.54791
-3.398 , -3.56244
-3.38039 , -3.57469
-3.36477 , -3.58907
-3.34908 , -3.60338
-3.32461 , -3.60798
-3.29552 , -3.6072
-3.27976 , -3.62121
-3.25931 , -3.62989
-3.24345 , -3.64374
-3.22685 , -3.65678
-3.20957 , -3.66897
-3.18966 , -3.67803
-3.16523 , -3.68162
-3.14786 , -3.69352
-3.1279 , -3.70226
-3.1117 , -3.71555
-3.09483 , -3.72798
-3.07291 , -3.7341
-3.05472 , -3.74479
-3.03031 , -3.74754
-3.00963 , -3.75487
-2.99258 , -3.76686
-2.97308 , -3.77558
-2.95598 , -3.78739
-2.93642 , -3.79592
-2.91864 , -3.80676
-2.9002 , -3.81673
-2.88175 , -3.82659
-2.85797 , -3.82909
-2.83774 , -3.83632
-2.81865 , -3.84507
-2.79955 , -3.85373
-2.77924 , -3.86068
-2.75896 , -3.8675
-2.71997 , -3.84703
-2.69247 , -3.84282
-2.67289 , -3.85005
-2.65549 , -3.86053
-0.0765519 , -0.000833889
-0.0765483 , -0.000836288
-0.0765446 , -0.000838672
-0.076541 , -0.00084104
-0.0765373 , -0.000843392
-0.0765336 , -0.000845731
-0.0765299 , -0.000848051
-0.0765262 , -0.000850354
-0.0765225 , -0.000852641
-0.0765188 , -0.000854913
-0.076515 , -0.000857167
-0.0765113 , -0.000859409
-0.0765075 , -0.000861631
-0.0765038 , -0.000863837
-0.0765 , -0.000866026
-1.56663 , -2.60807
-2.34556 , -4.01148
-2.32804 , -4.02134
-2.30465 , -4.02064
-2.28709 , -4.03032
-1.50938 , -2.63997
-1.49454 , -2.64003
-1.48299 , -2.6462
-1.47237 , -2.65408
-1.46078 , -2.66015
-1.44916 , -2.66617
-1.43888 , -2.6748
-2.14915 , -4.11306
-2.13206 , -4.12387
-2.11405 , -4.1328
-2.096 , -4.14165
-2.07618 , -4.14682
-2.05807 , -4.1555
-2.0399 , -4.16412
-2.02214 , -4.17356
-2.00936 , -4.19381
-1.99146 , -4.20312
-1.9731 , -4.21143
-1.95431 , -4.21875
-1.93546 , -4.226
-1.91701 , -4.23407
-1.89852 , -4.24206
